parameters,value,name
Anode Density,7000,den_a
Anode Specific Heat ,500,cp_a
Anode Thermal Conductivity ,4,tc_a
Cathode Density,7000,den_c
Cathode Specific Heat ,500,cp_c
Cathode Thermal Conductivity ,4,tc_c
Anode Interconnector Density,7000,den_ac
Anode Interconnector Specific Heat ,500,cp_ac
Anode Interconnector Thermal Conductivity ,30,tc_ac
Cathode Interconnector Density,7000,den_cc
Cathode Interconnector Specific Heat ,500,cp_cc
Cathode Interconnector Thermal Conductivity ,30,tc_cc
operating_pressure,303975,pressure
Anode Permeability,1.00E+12,per_a
Anode Porosity,0.4,por_a
surface_volume_ratio_anode,2.00E+05,sv_a
Cathode Permeability,1.00E+12,per_c
Cathode Porosity,0.4,por_c
surface_volume_ratio_cathode,2.00E+05,sv_c
