width_pitch,width_rib_a,width_rib_c,height_anode,height_cathode,height_electrolyte,current,max_temperature,min_temperature
2.0,1.0,30,0.41,0.025,0.01,3509.214741225241,1055.745902166816,966.5259935502066
2.0,1.0,40,0.41,0.025,0.01,3497.44337054826,1058.755145074475,966.8729581790652
2.0,1.0,50,0.41,0.025,0.01,3476.15213956552,1061.616503724594,967.4296767904718
2.0,1.0,60,0.41,0.025,0.01,3456.180333672465,1063.642506995291,967.9284879771182
2.0,1.0,70,0.41,0.025,0.01,3433.881124451656,1065.653289608691,968.5778834588896
2.0,30,1.0,0.41,0.025,0.01,3592.469200097868,1061.365410335358,964.0289097334844
2.0,40,1.0,0.41,0.025,0.01,3547.603870293347,1061.443784671079,965.3475565931824
2.0,50,1.0,0.41,0.025,0.01,3476.15213956552,1061.616503724594,967.4296767904718
2.0,60,1.0,0.41,0.025,0.01,3375.499655849612,1061.692924490126,970.4412395517144
2.0,70,1.0,0.41,0.025,0.01,3251.751022318191,1062.245643699739,974.0534037377264
1.8,1.0,1.0,0.36,0.025,0.01,3644.54009760656,1064.350936093461,973.1465117353366
2.0,1.0,1.0,0.41,0.025,0.01,3476.15213956552,1061.616503724594,967.4296767904718
2.2,1.0,1.0,0.46,0.025,0.01,3291.105092980106,1057.746297753326,963.2025767785508
2.4,1.0,1.0,0.51,0.025,0.01,3114.740880441549,1053.658375988136,959.7662811025376
2.6,1.0,1.0,0.56,0.025,0.01,2949.429983912234,1049.487534396588,956.952268757395
2.0,1.0,1.0,0.41,0.02,0.01,3472.124832461895,1061.619916046098,967.5255776015356
2.0,1.0,1.0,0.41,0.025,0.01,3476.15213956552,1061.616503724594,967.4296767904718
2.0,1.0,1.0,0.41,0.03,0.01,3479.398305300686,1061.615512075127,967.3542858601472
2.0,1.0,1.0,0.41,0.035,0.01,3482.055126656463,1061.614701014053,967.2783296286166
2.0,1.0,1.0,0.41,0.04,0.01,3484.283174195403,1061.617167380924,967.2340169390784
2.0,1.0,1.0,0.41,0.025,0.01,3476.15213956552,1061.616503724594,967.4296767904718
2.0,1.0,1.0,0.41,0.025,0.012,3476.150117138864,1061.616511838982,967.4297353570104
2.0,1.0,1.0,0.41,0.025,0.014,3476.147741526958,1061.616470930706,967.4293001819968
2.0,1.0,1.0,0.41,0.025,0.016,3476.14584156304,1061.616495763783,967.4295303149836
2.0,1.0,1.0,0.41,0.025,0.018,3476.143823402428,1061.616504289626,967.4295948484132
