width_pitch,width_rib_a,width_rib_air,height_anode,height_cathode,height_electrolyte,current,max_temperature,min_temperature,Delta_T
1.8,0.8,0.8,0.36,0.02,0.01,3875.31644053338,1060.39063096357,955.53629989044,104.85433107313
1.8,0.8,0.8,0.36,0.02,0.014,3697.24082275763,1060.98721397706,960.763210096465,100.224003880595
1.8,0.8,0.8,0.36,0.025,0.01,3880.45292488549,1060.3816156938,955.395883446013,104.985732247787
1.8,0.8,0.8,0.36,0.025,0.014,3702.17074208019,1060.97856559705,960.626946459156,100.351619137894
1.8,0.8,0.8,0.36,0.03,0.01,3884.18770823265,1060.3771321674,955.293455267547,105.083676899853
1.8,0.8,0.8,0.36,0.03,0.014,3705.74658079995,1060.97425708711,960.527524926221,100.446732160889
1.8,0.8,0.8,0.41,0.02,0.01,3718.11682029002,1060.908083312,960.146106708196,100.761976603804
1.8,0.8,0.8,0.41,0.02,0.014,3554.927721546,1061.44956209177,964.950017136553,96.4995449552171
1.8,0.8,0.8,0.41,0.025,0.01,3723.27729396187,1060.89919164585,960.004477851516,100.894713794334
1.8,0.8,0.8,0.41,0.025,0.014,3559.82936442965,1061.44110471638,964.813708962702,96.6273957536781
1.8,0.8,0.8,0.41,0.03,0.01,3727.02323437585,1060.89476865994,959.90086272802,100.99390593192
1.8,0.8,0.8,0.41,0.03,0.014,3563.38523257541,1061.43697084388,964.714533299415,96.722437544465
1.8,0.8,0.8,0.46,0.02,0.01,3568.31379606431,1061.39789337082,964.552150892883,96.8457424779369
1.8,0.8,0.8,0.46,0.02,0.014,3419.57945811862,1061.88816800931,968.941488146178,92.946679863132
1.8,0.8,0.8,0.46,0.025,0.01,3573.416419225,1061.38910645442,964.41065803169,96.97844842273
1.8,0.8,0.8,0.46,0.025,0.014,3424.41783884515,1061.87995169962,968.806911677143,93.073040022477
1.8,0.8,0.8,0.46,0.03,0.01,3577.12144474715,1061.38477816922,964.307539901417,97.077238267803
1.8,0.8,0.8,0.46,0.03,0.014,3427.92106399419,1061.87595704656,968.708800933839,93.1671561127209
1.8,0.8,1,0.36,0.02,0.01,3844.9928806199,1062.61960983509,956.368173311358,106.251436523732
1.8,0.8,1,0.36,0.02,0.014,3668.07423921959,1063.11076674909,961.570934894273,101.539831854817
1.8,0.8,1,0.36,0.025,0.01,3853.2469174676,1062.60379833365,956.146170677828,106.457627655822
1.8,0.8,1,0.36,0.025,0.014,3676.00225441528,1063.0954988726,961.355218910949,101.740279961651
1.8,0.8,1,0.36,0.03,0.01,3859.48115028329,1062.5929301428,955.977978848006,106.614951294794
1.8,0.8,1,0.36,0.03,0.014,3681.97592911922,1063.08502453319,961.191700999424,101.893323533766
1.8,0.8,1,0.41,0.02,0.01,3687.88481467198,1063.05044380901,960.981755706199,102.068688102811
1.8,0.8,1,0.41,0.02,0.014,3526.10489082602,1063.4954460623,965.751489590296,97.743956472004
1.8,0.8,1,0.41,0.025,0.01,3696.16155369908,1063.03453099578,960.757064831054,102.277466164726
1.8,0.8,1,0.41,0.025,0.014,3533.99677459393,1063.48025284664,965.535718453947,97.9445343926931
1.8,0.8,1,0.41,0.03,0.01,3702.40391557371,1063.0235919688,960.586593517566,102.436998451234
1.8,0.8,1,0.41,0.03,0.014,3539.93922386501,1063.46987697824,965.372428629851,98.0974483483891
1.8,0.8,1,0.46,0.02,0.01,3538.53542479565,1063.45676487051,965.378363850154,98.078401020356
1.8,0.8,1,0.46,0.02,0.014,3391.32949287766,1063.85937003559,969.731373481712,94.127996553878
1.8,0.8,1,0.46,0.025,0.01,3546.7424147272,1063.44097668083,965.154786923696,98.2861897571341
1.8,0.8,1,0.46,0.025,0.014,3399.12130940546,1063.84431368817,969.517110644796,94.3272030433739
1.8,0.8,1,0.46,0.03,0.01,3552.92556735223,1063.43015320251,964.985308575564,98.444844626946
1.8,0.8,1,0.46,0.03,0.014,3404.98226307237,1063.83406454168,969.355175732758,94.478888808922
1.8,0.8,1.2,0.36,0.02,0.01,3817.89770359299,1064.826942936,957.154728021935,107.672214914065
1.8,0.8,1.2,0.36,0.02,0.014,3642.15455974347,1065.21327983066,962.326573241674,102.886706588986
1.8,0.8,1.2,0.36,0.025,0.01,3828.52542150569,1064.80717770769,956.864029926717,107.943147780973
1.8,0.8,1.2,0.36,0.025,0.014,3652.35698841718,1065.19433795555,962.045326091489,103.149011864061
1.8,0.8,1.2,0.36,0.03,0.01,3836.67706468017,1064.79235921794,956.640300152855,108.152059065085
1.8,0.8,1.2,0.36,0.03,0.014,3660.17303309361,1065.18018090716,961.829386420783,103.350794486377
1.8,0.8,1.2,0.41,0.02,0.01,3661.08589414107,1065.16920914276,961.763016451537,103.406192691223
1.8,0.8,1.2,0.41,0.02,0.014,3500.67322424397,1065.5188898902,966.497279756193,99.0216101340069
1.8,0.8,1.2,0.41,0.025,0.01,3671.74302388587,1065.14948188855,961.470400475011,103.679081413539
1.8,0.8,1.2,0.41,0.025,0.014,3510.82657430799,1065.50005532718,966.215962047529,99.284093279651
1.8,0.8,1.2,0.41,0.03,0.01,3679.90607213122,1065.13468761018,961.244959753211,103.889727856969
1.8,0.8,1.2,0.41,0.03,0.014,3518.58761820342,1065.48596227532,965.999564148153,99.4863981271669
1.8,0.8,1.2,0.46,0.02,0.01,3512.30357283283,1065.49114819092,966.146388409985,99.3447597809351
1.8,0.8,1.2,0.46,0.02,0.014,3366.50299905856,1065.80719588878,970.461241051784,95.3459548369959
1.8,0.8,1.2,0.46,0.025,0.01,3522.86475586604,1065.47160150305,965.854841568222,99.6167599348279
1.8,0.8,1.2,0.46,0.025,0.014,3376.53606894139,1065.78857203857,970.181979010524,95.6065930280461
1.8,0.8,1.2,0.46,0.03,0.01,3530.93741460461,1065.45692507513,965.629849598094,99.8270754770359
1.8,0.8,1.2,0.46,0.03,0.014,3384.19835495803,1065.77467900241,969.967716024641,95.806962977769
1.8,1,0.8,0.36,0.02,0.01,3858.75137154524,1060.10661386825,956.048800831703,104.057813036547
1.8,1,0.8,0.36,0.02,0.014,3682.24777295216,1060.71150266631,961.228202075768,99.4833005905421
1.8,1,0.8,0.36,0.025,0.01,3863.19714430209,1060.09942664204,955.923664665016,104.175761977024
1.8,1,0.8,0.36,0.025,0.014,3686.5103123001,1060.70466987356,961.107345679732,99.5973241938281
1.8,1,0.8,0.36,0.03,0.01,3866.39442079257,1060.09645473739,955.833671943507,104.262782793883
1.8,1,0.8,0.36,0.03,0.014,3689.57752212065,1060.7018708716,961.020950839507,99.680920032093
1.8,1,0.8,0.41,0.02,0.01,3703.0590920779,1060.63386925821,960.614010615839,100.019858642371
1.8,1,0.8,0.41,0.02,0.014,3541.27871567378,1061.18314006971,965.373799251745,95.8093408179649
1.8,1,0.8,0.41,0.025,0.01,3707.5196037973,1060.62669514044,960.487741238161,100.138953902279
1.8,1,0.8,0.41,0.025,0.014,3545.52353848732,1061.1764705079,965.253646178855,95.9228243290449
1.8,1,0.8,0.41,0.03,0.01,3710.72350958857,1060.62365252001,960.396727610213,100.226924909797
1.8,1,0.8,0.41,0.03,0.014,3548.57388201698,1061.17376015421,965.167680895931,96.006079258279
1.8,1,0.8,0.46,0.02,0.01,3554.58031532971,1061.13291345263,964.979473374656,96.153440077974
1.8,1,0.8,0.46,0.02,0.014,3407.11396916967,1061.6306851362,969.33091527605,92.2997698601502
1.8,1,0.8,0.46,0.025,0.01,3558.99031726174,1061.12579896934,964.853656726268,96.2721422430719
1.8,1,0.8,0.46,0.025,0.014,3411.2952311954,1061.62413521438,969.211952061645,92.412183152735
1.8,1,0.8,0.46,0.03,0.01,3562.17166914796,1061.12289589158,964.764375008459,96.358520883121
1.8,1,0.8,0.46,0.03,0.014,3414.2900601256,1061.62141774991,969.126332652898,92.4950850970121
1.8,1,1,0.36,0.02,0.01,3823.47275716374,1062.60938212674,957.000651324768,105.608730801972
1.8,1,1,0.36,0.02,0.014,3648.37988076383,1063.09753295595,962.150836749436,100.946696206514
1.8,1,1,0.36,0.025,0.01,3831.67161293443,1062.5938072371,956.779979940412,105.813827296688
1.8,1,1,0.36,0.025,0.014,3656.2617990985,1063.0825004266,961.936671553905,101.145828872695
1.8,1,1,0.36,0.03,0.01,3837.87702489999,1062.58315520353,956.612841553296,105.970313650234
1.8,1,1,0.36,0.03,0.014,3662.2135559694,1063.0722391895,961.774379569234,101.297859620266
1.8,1,1,0.41,0.02,0.01,3667.95550265472,1063.03808713364,961.568185124166,101.469902009474
1.8,1,1,0.41,0.02,0.014,3507.88927603622,1063.48071866294,966.290715017345,97.1900036455951
1.8,1,1,0.41,0.025,0.01,3676.19355740351,1063.02247681302,961.345894460647,101.676582352373
1.8,1,1,0.41,0.025,0.014,3515.73180248729,1063.46568384438,966.075763990408,97.3899198539721
1.8,1,1,0.41,0.03,0.01,3682.40505744974,1063.01170047467,961.176096614476,101.835603860194
1.8,1,1,0.41,0.03,0.014,3521.64716348383,1063.45545117708,965.913031815815,97.5424193612651
1.8,1,1,0.46,0.02,0.01,3519.26271044781,1063.43656786794,965.848365514289,97.5882023536511
1.8,1,1,0.46,0.02,0.014,3373.70904123147,1063.83852060154,970.173907671344,93.6646129301961
1.8,1,1,0.46,0.025,0.01,3527.67513985639,1063.42296358392,965.649482086086,97.7734814978339
1.8,1,1,0.46,0.025,0.014,3381.68341554801,1063.82522783982,969.979525313807,93.8457025260129
1.8,1,1,0.46,0.03,0.01,3534.38294562676,1063.41656211762,965.531469101319,97.8850930163011
1.8,1,1,0.46,0.03,0.014,3387.98620821362,1063.81838480486,969.857080741117,93.961304063743
1.8,1,1.2,0.36,0.02,0.01,3798.9032121967,1064.81667440851,957.71657714431,107.1000972642
1.8,1,1.2,0.36,0.02,0.014,3624.76621576529,1065.20106157057,962.842226918089,102.358834652481
1.8,1,1.2,0.36,0.025,0.01,3809.50628499299,1064.79690303187,957.425929907628,107.370973124242
1.8,1,1.2,0.36,0.025,0.014,3634.94765164098,1065.18213358897,962.561465778127,102.620667810843
1.8,1,1.2,0.36,0.03,0.01,3817.63774388126,1064.78213052655,957.202550761624,107.579579764926
1.8,1,1.2,0.36,0.03,0.014,3642.73941738022,1065.16799970989,962.345662641116,102.822337068774
1.8,1,1.2,0.41,0.02,0.01,3643.3442501567,1065.15786873224,962.288547009679,102.869321722561
1.8,1,1.2,0.41,0.02,0.014,3484.44053858485,1065.50591171719,966.979598181118,98.5263135360719
1.8,1,1.2,0.41,0.025,0.01,3653.97458047818,1065.13812655708,961.996036564591,103.142089992489
1.8,1,1.2,0.41,0.025,0.014,3494.56502002049,1065.4870429956,966.698150992765,98.7888920028349
1.8,1,1.2,0.41,0.03,0.01,3662.10987093994,1065.12333582372,961.770490926894,103.352844896826
1.8,1,1.2,0.41,0.03,0.014,3502.30619558596,1065.47298089196,966.482143418234,98.9908374737261
1.8,1,1.2,0.46,0.02,0.01,3495.74958875758,1065.4790495335,966.637826266629,98.8412232668711
1.8,1,1.2,0.46,0.02,0.014,3351.31578991266,1065.79365888222,970.912164333932,94.881494548288
1.8,1,1.2,0.46,0.025,0.01,3506.2725023986,1065.45941637497,966.345464570546,99.113951804424
1.8,1,1.2,0.46,0.025,0.014,3361.32241223486,1065.77500598494,970.632956909367,95.142049075573
1.8,1,1.2,0.46,0.03,0.01,3514.34110231445,1065.44487754199,966.12254246401,99.32233507798
1.8,1,1.2,0.46,0.03,0.014,3368.97634953366,1065.7612016336,970.420047844245,95.341153789355
1.8,1.2,0.8,0.36,0.02,0.01,3832.68468625123,1060.31849778371,956.794702801617,103.523794982093
1.8,1.2,0.8,0.36,0.02,0.014,3658.3956364002,1060.90974966278,961.913709168982,98.9960404937981
1.8,1.2,0.8,0.36,0.025,0.01,3837.6040340074,1060.31086659561,956.659756300367,103.651110295243
1.8,1.2,0.8,0.36,0.025,0.014,3663.10612513542,1060.9024196847,961.782762735584,99.1196569491159
1.8,1.2,0.8,0.36,0.03,0.01,3841.16109973291,1060.30762461601,956.561428349058,103.746196266952
1.8,1.2,0.8,0.36,0.03,0.014,3666.52828007172,1060.89946270615,961.689040284699,99.210422421451
1.8,1.2,0.8,0.41,0.02,0.01,3678.69068344953,1060.83687928423,961.313387075825,99.5234922084051
1.8,1.2,0.8,0.41,0.02,0.014,3518.99062662876,1061.37394763157,966.017332816206,95.356614815364
1.8,1.2,0.8,0.41,0.025,0.01,3683.61850327703,1060.82916603524,961.177382791322,99.651783243918
1.8,1.2,0.8,0.41,0.025,0.014,3523.66942688564,1061.36664368074,965.886701080816,95.479942599924
1.8,1.2,0.8,0.41,0.03,0.01,3687.18358428559,1060.82585062184,961.078641018495,99.7472096033449
1.8,1.2,0.8,0.41,0.03,0.014,3527.05657459204,1061.36360777702,965.792654860416,95.570952916604
1.8,1.2,0.8,0.46,0.02,0.01,3531.80614955984,1061.32749443174,965.635664155526,95.691830276214
1.8,1.2,0.8,0.46,0.02,0.014,3386.22546464132,1061.81423178754,969.935241759213,91.8789900283269
1.8,1.2,0.8,0.46,0.025,0.01,3536.67683495204,1061.3198100343,965.500539875816,95.819270158484
1.8,1.2,0.8,0.46,0.025,0.014,3390.83902173387,1061.80705467639,969.806547868366,92.0005068080239
